home_team,away_team,tournament,city,country,neutral,result
Albania,Czech Republic,UEFA Euro qualification,Tirana,Albania,FALSE,2
United States,Republic of Ireland,USA Cup,Foxborough,United States,FALSE,0
Denmark,Sweden,Friendly,Copenhagen,Denmark,FALSE,2
Iraq,Pakistan,Friendly,Tehran,Iran,TRUE,1
Indonesia,Bhutan,AFC Asian Cup qualification,Jeddah,Saudi Arabia,TRUE,2
Ukraine,Nigeria,Friendly,Dnipro,Ukraine,FALSE,0
Sweden,Norway,Nordic Championship,Solna,Sweden,FALSE,0
Saint Kitts and Nevis,Trinidad and Tobago,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE,1
Greece,Croatia,FIFA World Cup qualification,Piraeus,Greece,FALSE,0
Mexico,Basque Country,Friendly,Mexico City,Mexico,FALSE,1
Brazil,Paraguay,FIFA World Cup qualification,São Paulo,Brazil,FALSE,2
Lesotho,Zambia,COSAFA Cup,Maseru,Lesotho,FALSE,1
Andalusia,Zambia,Friendly,Jerez,Spain,FALSE,2
England,Bulgaria,Friendly,London,England,FALSE,0
Malawi,Tanzania,Friendly,Blantyre,Malawi,FALSE,2
Bulgaria,Slovenia,UEFA Nations League,Sofia,Bulgaria,FALSE,0
Iceland,Turkey,FIFA World Cup qualification,Reykjavík,Iceland,FALSE,2
Malaysia,Singapore,King's Cup,Bangkok,Thailand,TRUE,2
Brazil,Bolivia,Friendly,Rio de Janeiro,Brazil,FALSE,2
Yugoslavia,Morocco,Friendly,Belgrade,Yugoslavia,FALSE,2
Denmark,Norway,Nordic Championship,Copenhagen,Denmark,FALSE,1
Germany,Finland,FIFA World Cup qualification,Hamburg,Germany,FALSE,0
Madagascar,Ivory Coast,FIFA World Cup qualification,Antananarivo,Madagascar,FALSE,0
Saudi Arabia,Qatar,Gulf Cup,Riyadh,Saudi Arabia,FALSE,0
Yemen DPR,Iraq,Friendly,Aden,Yemen DPR,FALSE,2
Jamaica,Sweden,Friendly,Kingston,Jamaica,FALSE,0
Germany,Austria,Friendly,Munich,Germany,FALSE,2
Panama,United States,FIFA World Cup qualification,Panama City,Panama,FALSE,0
Scotland,Yugoslavia,FIFA World Cup,Västerås,Sweden,TRUE,0
Spain,Germany,Friendly,Vigo,Spain,FALSE,1
North Korea,Myanmar,AFC Challenge Cup,Hyderabad,India,TRUE,2
Hungary,Switzerland,Central European International Cup,Budapest,Hungary,FALSE,2
Netherlands,Norway,Friendly,Amsterdam,Netherlands,FALSE,1
Tunisia,Sudan,Friendly,Radès,Tunisia,FALSE,2
Isle of Wight,Jersey,Island Games,Visby,Sweden,TRUE,2
North Macedonia,Gibraltar,UEFA Nations League,Skopje,North Macedonia,FALSE,2
Ethiopia,Tunisia,African Cup of Nations,Accra,Ghana,TRUE,2
Luxembourg,Belarus,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE,0
Georgia,Ukraine,UEFA Euro qualification,Tbilisi,Georgia,FALSE,0
Finland,Italy,FIFA World Cup qualification,Helsinki,Finland,FALSE,1
South Africa,Jamaica,Friendly,Offenbach am Main,Germany,TRUE,2
Germany,Turkey,UEFA Euro qualification,Berlin,Germany,FALSE,2
Morocco,Ghana,Friendly,Rouen,France,TRUE,1
Libya,Ukraine,Friendly,Tripoli,Libya,FALSE,0
Japan,Myanmar,Friendly,Tokyo,Japan,FALSE,0
Oman,Bahrain,WAFF Championship,Kuwait City,Kuwait,TRUE,2
Costa Rica,Curaçao,FIFA World Cup qualification,San José,Costa Rica,FALSE,2
Suriname,Haiti,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,TRUE,0
Grenada,Saint Vincent and the Grenadines,Windward Islands Tournament,Roseau,Dominica,TRUE,0
Venezuela,Chile,Copa América,San Cristóbal,Venezuela,FALSE,0
Ghana,Ivory Coast,Friendly,Cape Coast,Ghana,FALSE,0
France,Brazil,Friendly,Saint-Denis,France,FALSE,2
Uganda,South Sudan,African Cup of Nations qualification,Kampala,Uganda,FALSE,2
United States,Israel,Friendly,East Rutherford,United States,FALSE,2
Venezuela,Peru,Friendly,Puerto Ordaz,Venezuela,FALSE,0
Serbia,Bolivia,Friendly,Graz,Austria,TRUE,2
Spain,Iceland,UEFA Euro qualification,Málaga,Spain,FALSE,2
Ecuador,Jamaica,Friendly,Quito,Ecuador,FALSE,2
Abkhazia,Chagos Islands,CONIFA World Football Cup,Sukhumi,Georgia,FALSE,2
Armenia,Serbia,UEFA Euro qualification,Yerevan,Armenia,FALSE,0
Liechtenstein,North Macedonia,Friendly,Vaduz,Liechtenstein,FALSE,1
Sweden,England,Friendly,Solna,Sweden,FALSE,2
Czech Republic,Netherlands,UEFA Euro qualification,Prague,Czech Republic,FALSE,2
Switzerland,Sweden,FIFA World Cup qualification,Berne,Switzerland,FALSE,2
Zambia,Burundi,CECAFA Cup,Dar es Salaam,Tanzania,TRUE,0
Fiji,Solomon Islands,South Pacific Games,Suva,Fiji,FALSE,2
Thailand,Singapore,King's Cup,Bangkok,Thailand,FALSE,2
Austria,Norway,Friendly,Vienna,Austria,FALSE,0
Guatemala,Antigua and Barbuda,Friendly,Guatemala City,Guatemala,FALSE,2
Guatemala,Peru,Friendly,San Francisco,United States,TRUE,1
Tunisia,Senegal,African Cup of Nations,Radès,Tunisia,FALSE,2
Mexico,United States,Friendly,Mexico City,Mexico,FALSE,2
Nigeria,Kenya,African Cup of Nations,Dakar,Senegal,TRUE,2
United States,Honduras,Gold Cup,East Rutherford,United States,FALSE,2
Mayotte,Réunion,Friendly,Mamoudzou,Mayotte,FALSE,0
Senegal,Zambia,Friendly,Dakar,Senegal,FALSE,0
Norway,Sweden,Friendly,Kristiania,Norway,FALSE,1
Thailand,Western Australia,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE,1
Morocco,Mali,African Cup of Nations qualification,Casablanca,Morocco,FALSE,2
India,Taiwan,AFC Challenge Cup qualification,Petaling Jaya,Malaysia,TRUE,2
DR Congo,Libya,African Cup of Nations qualification,Kinshasa,DR Congo,FALSE,2
Peru,Bolivia,FIFA World Cup qualification,Lima,Peru,FALSE,2
North Macedonia,England,UEFA Euro qualification,Skopje,North Macedonia,FALSE,1
Austria,Bulgaria,FIFA World Cup qualification,Vienna,Austria,FALSE,2
Russia,New Zealand,FIFA World Cup,Málaga,Spain,TRUE,2
Aruba,Antigua and Barbuda,CONCACAF Nations League,Willemstad,Aruba,FALSE,1
Gambia,Gabon,African Cup of Nations qualification,Bakau,Gambia,FALSE,2
Bahrain,Saudi Arabia,Friendly,Manama,Bahrain,FALSE,2
United Arab Emirates,Iraq,Gulf Cup,Doha,Qatar,TRUE,1
Japan,Australia,Friendly,Osaka,Japan,FALSE,2
Andorra,Moldova,Friendly,Paola,Malta,TRUE,1
Palestine,Tunisia,Palestine Cup,Tripoli,Libya,TRUE,1
Cambodia,Singapore,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE,0
Vietnam,India,Friendly,Ho Chi Minh City,Vietnam,FALSE,2
Russia,Northern Ireland,FIFA World Cup qualification,Moscow,Russia,FALSE,2
Panama,Honduras,CONCACAF Championship qualification,Panama City,Panama,FALSE,1
France,Italy,Friendly,Colombes,France,FALSE,1
Malaysia,India,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE,2
Jersey,Guernsey,Muratti Vase,Jersey,Jersey,FALSE,1
Costa Rica,Saudi Arabia,Friendly,Newcastle,England,TRUE,2
Saint Barthélemy,Saint Martin,Friendly,Saint-Jean,Saint Barthélemy,FALSE,2
Panama,Curaçao,FIFA World Cup qualification,Panama City,Panama,FALSE,2
Qatar,Iran,Friendly,Doha,Qatar,FALSE,2
France,Sweden,Friendly,Paris,France,FALSE,2
São Tomé and Príncipe,Congo,FIFA World Cup qualification,São Tomé,São Tomé and Príncipe,FALSE,1
Uzbekistan,South Korea,FIFA World Cup qualification,Tashkent,Uzbekistan,FALSE,1
Algeria,Zimbabwe,FIFA World Cup qualification,Oran,Algeria,FALSE,0
Andorra,Azerbaijan,Malta International Tournament,Attard,Malta,TRUE,0
Venezuela,Uruguay,FIFA World Cup qualification,Maracaibo,Venezuela,FALSE,0
Mexico,Costa Rica,FIFA World Cup qualification,Mexico City,Mexico,FALSE,2
Belgium,Germany,UEFA Euro,Antwerp,Belgium,FALSE,1
Norway,Sweden,Friendly,Lahti,Finland,TRUE,1
Guinea,Ivory Coast,Friendly,Monrovia,Liberia,TRUE,1
Mexico,Trinidad and Tobago,FIFA World Cup qualification,Mexico City,Mexico,FALSE,2
Bulgaria,Cameroon,Friendly,Sofia,Bulgaria,FALSE,2
Wales,Iceland,FIFA World Cup qualification,Cardiff,Wales,FALSE,2
Kazakhstan,Cyprus,UEFA Euro qualification,Nur-Sultan,Kazakhstan,FALSE,1
Iceland,Faroe Islands,Friendly,Kópavogur,Iceland,FALSE,1
Chile,Guinea,Friendly,Alicante,Spain,TRUE,2
Belgium,Hungary,Friendly,Brussels,Belgium,FALSE,2
Monaco,Vatican City,Friendly,Albano Laziale,Italy,TRUE,0
Lithuania,Italy,UEFA Euro qualification,Kaunas,Lithuania,FALSE,1
Paraguay,Argentina,Copa Chevallier Boutell,Asunción,Paraguay,FALSE,1
Abkhazia,Sápmi,CONIFA World Football Cup,Sukhumi,Georgia,FALSE,2
Tunisia,Rwanda,FIFA World Cup qualification,Tunis,Tunisia,FALSE,2
Switzerland,Russia,FIFA World Cup qualification,Berne,Switzerland,FALSE,0
Italy,Argentina,Friendly,Rome,Italy,FALSE,1
Saint Kitts and Nevis,Trinidad and Tobago,CFU Caribbean Cup,Basseterre,Saint Kitts and Nevis,FALSE,1
Algeria,Burundi,African Cup of Nations qualification,Algiers,Algeria,FALSE,2
Norway,Finland,Nordic Championship,Oslo,Norway,FALSE,2
Morocco,DR Congo,African Cup of Nations,Casablanca,Morocco,FALSE,0
Benin,Ghana,Friendly,Luanda,Angola,TRUE,0
Guinea-Bissau,Central African Republic,African Cup of Nations qualification,Bissau,Guinea-Bissau,FALSE,2
Malawi,Zambia,COSAFA Cup,Blantyre,Malawi,FALSE,2
Guyana,Antigua and Barbuda,Friendly,Georgetown,Guyana,FALSE,2
Ivory Coast,Guinea,Friendly,Abidjan,Ivory Coast,FALSE,0
Georgia,Uzbekistan,Friendly,Gori,Georgia,FALSE,2
Iran,Israel,AFC Asian Cup,Tehran,Iran,FALSE,2
Costa Rica,Cuba,FIFA World Cup qualification,Alajuela,Costa Rica,FALSE,0
Macau,Japan,FIFA World Cup qualification,Muscat,Oman,TRUE,1
Australia,Solomon Islands,Oceania Nations Cup,Adelaide,Australia,FALSE,0
Malta,Estonia,UEFA Nations League,Ta' Qali,Malta,FALSE,1
Russia,Belgium,Friendly,Sochi,Russia,FALSE,0
Panama,Venezuela,Friendly,Barranquilla,Colombia,TRUE,1
Albania,Romania,Balkan Cup,Tirana,Albania,FALSE,2
Falkland Islands,Frøya,Island Games,Jomala,Sweden,TRUE,1
Cameroon,Nigeria,Friendly,Yaoundé,Cameroon,FALSE,1
Belarus,Sweden,FIFA World Cup qualification,Minsk,Belarus,FALSE,1
Thailand,Myanmar,Southeast Asian Games,Bandar Seri Begawan,Brunei,TRUE,2
Jersey,Guernsey,Muratti Vase,Jersey,Jersey,FALSE,1
Brazil,Costa Rica,Friendly,Paranavaí,Brazil,FALSE,2
Kenya,Nigeria,Friendly,Nairobi,Kenya,FALSE,1
England,Germany,Friendly,London,England,FALSE,1
Hungary,Austria,Friendly,Budapest,Hungary,FALSE,0
Mexico,Japan,Friendly,Mexico City,Mexico,FALSE,2
Botswana,Madagascar,COSAFA Cup,Gaborone,Botswana,FALSE,2
Togo,Ivory Coast,Friendly,Lomé,Togo,FALSE,2
Bahrain,Cape Verde,Friendly,Riffa,Bahrain,FALSE,1
Ecuador,Venezuela,FIFA World Cup qualification,Quito,Ecuador,FALSE,2
Uzbekistan,Saudi Arabia,AFC Asian Cup,Melbourne,Australia,TRUE,2
United States,El Salvador,FIFA World Cup qualification,Foxborough,United States,FALSE,2
Austria,Spain,UEFA Euro qualification,Vienna,Austria,FALSE,1
Republic of Ireland,Montenegro,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE,0
Ghana,Ivory Coast,Simba Tournament,Johannesburg,South Africa,TRUE,0
Seychelles,Mauritius,African Cup of Nations qualification,Victoria,Seychelles,FALSE,2
Turkey,Denmark,UEFA Euro,Sheffield,England,TRUE,1
England,Wales,British Home Championship,London,England,FALSE,2
Malawi,Djibouti,FIFA World Cup qualification,Blantyre,Malawi,FALSE,2
El Salvador,Guatemala,Friendly,Carson,United States,TRUE,0
Uruguay,Paraguay,Copa América,La Serena,Chile,TRUE,0
Switzerland,Germany,Friendly,Basel,Switzerland,FALSE,1
Belgium,Luxembourg,UEFA Euro qualification,Brussels,Belgium,FALSE,2
Mozambique,Eswatini,Friendly,Maputo,Mozambique,FALSE,0
Belgium,North Macedonia,UEFA Euro qualification,Brussels,Belgium,FALSE,0
Tunisia,Burkina Faso,FIFA World Cup qualification,Radès,Tunisia,FALSE,1
Switzerland,England,UEFA Nations League,Guimarães,Portugal,TRUE,0
Cuba,Canada,Friendly,Havana,Cuba,FALSE,2
Indonesia,Vietnam Republic,King's Cup,Bangkok,Thailand,TRUE,2
Benin,Sierra Leone,African Cup of Nations qualification,Cotonou,Benin,FALSE,2
Philippines,Laos,FIFA World Cup qualification,Pasig City,Philippines,FALSE,0
Ghana,Burkina Faso,African Cup of Nations,Accra,Ghana,FALSE,2
Bangladesh,Qatar,AFC Asian Cup qualification,Chittagong,Bangladesh,FALSE,1
Hungary,El Salvador,FIFA World Cup,Elche,Spain,TRUE,2
Kenya,Zanzibar,Friendly,Nairobi,Kenya,FALSE,2
India,Palestine,Friendly,Kochi,India,FALSE,1
Maldives,Vietnam,FIFA World Cup qualification,Malé,Maldives,FALSE,2
Mauritania,Sudan,African Cup of Nations qualification,Nouakchott,Mauritania,FALSE,2
Bermuda,Frøya,Island Games,Hamilton,Bermuda,FALSE,2
Botswana,Zimbabwe,Friendly,Gaborone,Botswana,FALSE,1
Antigua and Barbuda,Guadeloupe,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,FALSE,0
Tanzania,Zanzibar,Friendly,Nairobi,Kenya,TRUE,2
United States,Mexico,Copa América,Paysandú,Uruguay,TRUE,0
Faroe Islands,France,UEFA Euro qualification,Tórshavn,Faroe Islands,FALSE,1
Papua New Guinea,Wallis Islands and Futuna,South Pacific Games,Lae,Papua New Guinea,FALSE,2
Guinea-Bissau,Sierra Leone,Amílcar Cabral Cup,Dakar,Senegal,TRUE,1
Greece,Slovakia,FIFA World Cup qualification,Piraeus,Greece,FALSE,2
Peru,Chile,Copa del Pacífico,Lima,Peru,FALSE,2
Turkey,Switzerland,Friendly,Ankara,Turkey,FALSE,1
Wales,Armenia,FIFA World Cup qualification,Cardiff,Wales,FALSE,0
Poland,Netherlands,Friendly,Gdańsk,Poland,FALSE,1
Haiti,Antigua and Barbuda,CONCACAF Championship qualification,Port-au-Prince,Haiti,FALSE,2
Eswatini,Madagascar,COSAFA Cup,Windhoek,Namibia,TRUE,2
Comoros,Madagascar,Friendly,Saint-Leu-la-Forêt,France,TRUE,0
Gabon,Congo,UDEAC Cup,Libreville,Gabon,FALSE,2
Spain,Belgium,UEFA Euro qualification,Seville,Spain,FALSE,0
San Marino,Austria,UEFA Euro qualification,Serravalle,San Marino,FALSE,1
DR Congo,Sudan,African Cup of Nations qualification,Kinshasa,DR Congo,FALSE,2
Norway,San Marino,FIFA World Cup qualification,Oslo,Norway,FALSE,2
Georgia,Moldova,Friendly,Tbilisi,Georgia,FALSE,1
Trinidad and Tobago,Barbados,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,FALSE,2
Ghana,Nigeria,Friendly,Accra,Ghana,FALSE,2
Senegal,Nigeria,Friendly,Ismaila,Egypt,TRUE,2
Egypt,Iraq,Arab Cup,Amman,Jordan,TRUE,0
Tonga,Cook Islands,FIFA World Cup qualification,Apia,Samoa,TRUE,2
Brazil,Hungary,FIFA World Cup,Liverpool,England,TRUE,1
Denmark,Norway,Nordic Championship,Copenhagen,Denmark,FALSE,2
Yorkshire,Panjab,Friendly,Ossett,England,FALSE,2
Sweden,Switzerland,UEFA Euro qualification,Gothenburg,Sweden,FALSE,0
Malawi,Zambia,Friendly,Blantyre,Malawi,FALSE,2
Tunisia,Libya,African Cup of Nations qualification,Tunis,Tunisia,FALSE,2
Dominica,Canada,FIFA World Cup qualification,Roseau,Dominica,FALSE,1
Costa Rica,Canada,Friendly,San José,Costa Rica,FALSE,0
Italy,Germany,FIFA World Cup,Madrid,Spain,TRUE,2
United Arab Emirates,Iran,Friendly,Abu Dhabi,United Arab Emirates,FALSE,1
Mozambique,South Africa,COSAFA Cup,Maputo,Mozambique,FALSE,1
Egypt,Benin,FIFA World Cup qualification,Cairo,Egypt,FALSE,2
Brazil,Paraguay,Friendly,Porto Alegre,Brazil,FALSE,2
Brazil,Uruguay,FIFA World Cup qualification,São Paulo,Brazil,FALSE,2
Sri Lanka,Mongolia,AFC Challenge Cup qualification,Vientiane,Laos,TRUE,2
Norway,Bulgaria,UEFA Euro qualification,Oslo,Norway,FALSE,1
Iraqi Kurdistan,Occitania,Viva World Cup,Sulaymaniyah,Iraq,FALSE,2
Finland,Georgia,FIFA World Cup qualification,Helsinki,Finland,FALSE,0
Jamaica,El Salvador,FIFA World Cup qualification,Kingston,Jamaica,FALSE,1
Russia,Hungary,FIFA World Cup qualification,Tbilisi,Soviet Union,TRUE,2
Scotland,Belarus,FIFA World Cup qualification,Aberdeen,Scotland,FALSE,2
North Korea,Mongolia,EAFF Championship,Taipei,Taiwan,TRUE,2
Panama,Costa Rica,Friendly,Panama City,Panama,FALSE,2
Latvia,Poland,UEFA Euro qualification,Riga,Latvia,FALSE,1
Chile,Spain,Friendly,Santiago,Chile,FALSE,0
Saint Vincent and the Grenadines,British Virgin Islands,FIFA World Cup qualification,Willemstad,Curaçao,TRUE,2
Guinea,Sierra Leone,Amílcar Cabral Cup,Banjul,Gambia,TRUE,2
Oman,Bahrain,Friendly,Muscat,Oman,FALSE,2
Scotland,Northern Ireland,British Home Championship,Glasgow,Scotland,FALSE,0
Denmark,Sweden,Friendly,Copenhagen,Denmark,FALSE,1
Benin,Ivory Coast,West African Cup,Ouagadougou,Burkina Faso,TRUE,1
Morocco,Liberia,African Cup of Nations qualification,Casablanca,Morocco,FALSE,2
Albania,Turkey,FIFA World Cup qualification,Tirana,Albania,FALSE,1
Northern Ireland,Scotland,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE,1
Italy,North Korea,FIFA World Cup,Middlesbrough,England,TRUE,1
Russia,Mexico,Friendly,Leningrad,Soviet Union,FALSE,2
Austria,Turkey,Friendly,Vienna,Austria,FALSE,1
Namibia,Cameroon,African Cup of Nations qualification,Soweto,South Africa,TRUE,2
Burkina Faso,Gabon,Friendly,Ouagadougou,Burkina Faso,FALSE,1
Croatia,Malta,UEFA Euro qualification,Zagreb,Croatia,FALSE,2
Brazil,Paraguay,Copa América,La Plata,Argentina,TRUE,0
Afghanistan,Bangladesh,FIFA World Cup qualification,Dushanbe,Tajikistan,TRUE,2
DR Congo,Uganda,Nile Basin Tournament,Cairo,Egypt,TRUE,1
Ecuador,Chile,FIFA World Cup qualification,Quito,Ecuador,FALSE,2
Equatorial Guinea,Gabon,African Cup of Nations,Bata,Equatorial Guinea,FALSE,2
Peru,Bolivia,Friendly,Arequipa,Peru,FALSE,2
Myanmar,Singapore,Southeast Asian Games,Kuala Lumpur,Malaysia,TRUE,2
Guernsey,Jersey,Muratti Vase,Guernsey,Guernsey,FALSE,2
Syria,Bahrain,FIFA World Cup qualification,Riyadh,Saudi Arabia,TRUE,1
Norway,Bulgaria,UEFA Euro qualification,Oslo,Norway,FALSE,0
Netherlands,Italy,Mundialito,Montevideo,Uruguay,TRUE,0
South Korea,Australia,Korea Cup,Seoul,South Korea,FALSE,0
United Arab Emirates,Vietnam,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,FALSE,2
Australia,Sweden,Friendly,Adelaide,Australia,FALSE,2
Sweden,Netherlands,Friendly,Stockholm,Sweden,FALSE,2
Bahrain,Haiti,Friendly,Riffa,Bahrain,FALSE,2
France,Kuwait,FIFA World Cup,Valladolid,Spain,TRUE,2
Singapore,Uzbekistan,FIFA World Cup qualification,Kallang,Singapore,FALSE,1
Germany,Portugal,FIFA World Cup,Salvador,Brazil,TRUE,2
French Guiana,Guadeloupe,CFU Caribbean Cup qualification,Cayenne,French Guiana,FALSE,0
Turkey,Czechoslovakia,Friendly,Istanbul,Turkey,FALSE,2
Guinea,Congo,African Cup of Nations qualification,Conakry,Guinea,FALSE,2
Panama,Paraguay,Friendly,Panama,Panama,FALSE,1
Norway,Denmark,Friendly,Oslo,Norway,FALSE,1
France,Netherlands,UEFA Euro,Liverpool,England,TRUE,0
Sri Lanka,Saudi Arabia,FIFA World Cup qualification,Colombo,Sri Lanka,FALSE,1
Nigeria,Algeria,FIFA World Cup qualification,Lagos,Nigeria,FALSE,1
Tunisia,Ghana,African Cup of Nations,Tunis,Tunisia,FALSE,1
Kenya,Sudan,Nile Basin Tournament,Cairo,Egypt,TRUE,2
Dominica,Saint Lucia,Windward Islands Tournament,Roseau,Dominica,FALSE,0
Libya,Ghana,FIFA World Cup qualification,Tripoli,Libya,FALSE,2
Belarus,Italy,UEFA Euro qualification,Minsk,Belarus,FALSE,0
Romania,Israel,Friendly,Braşov,Romania,FALSE,2
Switzerland,Serbia,FIFA World Cup qualification,Basel,Switzerland,FALSE,1
Yugoslavia,Poland,Friendly,Borovo,Yugoslavia,FALSE,2
Burkina Faso,Niger,West African Cup,Accra,Ghana,TRUE,1
Curaçao,Aruba,Friendly,Willemstad,Curaçao,FALSE,0
Bahrain,South Korea,FIFA World Cup qualification,Beirut,Lebanon,TRUE,0
Saudi Arabia,Kuwait,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE,2
Mali,Burundi,African Cup of Nations qualification,Bamako,Mali,FALSE,0
Singapore,United Arab Emirates,Friendly,Singapore,Singapore,FALSE,1
South Korea,Spain,FIFA World Cup,Gwangju,South Korea,FALSE,0
Hungary,Austria,FIFA World Cup qualification,Budapest,Hungary,FALSE,2
Suriname,French Guiana,CFU Caribbean Cup qualification,Paramaribo,Suriname,FALSE,2
Luxembourg,Cape Verde,Friendly,Hesperange,Luxembourg,FALSE,1
Mexico,Russia,Friendly,Mexico City,Mexico,FALSE,0
Singapore,Philippines,Southeast Asian Games,Chiang Mai,Thailand,TRUE,2
Togo,Zambia,FIFA World Cup qualification,Accra,Ghana,TRUE,2
India,Puerto Rico,Friendly,Bombay,India,FALSE,2
Sweden,England,FIFA World Cup,Samara,Russia,TRUE,1
Guinea,Algeria,African Cup of Nations qualification,Conakry,Guinea,FALSE,0
Mozambique,Sudan,African Cup of Nations qualification,Maputo,Mozambique,FALSE,2
Colombia,Argentina,FIFA World Cup qualification,Barranquilla,Colombia,FALSE,2
Chile,Hungary,Friendly,Santiago,Chile,FALSE,0
Guatemala,Trinidad and Tobago,FIFA World Cup qualification,Guatemala,Guatemala,FALSE,0
Saudi Arabia,Lebanon,Friendly,Riyadh,Saudi Arabia,FALSE,1
Chile,Uruguay,FIFA World Cup qualification,Santiago,Chile,FALSE,0
Saint Kitts and Nevis,Jamaica,Friendly,Basseterre,Saint Kitts and Nevis,FALSE,1
Poland,Nigeria,Friendly,Wrocław,Poland,FALSE,1
Seychelles,Mauritius,Friendly,Victoria,Seychelles,FALSE,1
Alderney,Guernsey,Muratti Vase,Alderney,Alderney,FALSE,1
Netherlands,France,FIFA World Cup qualification,Rotterdam,Netherlands,FALSE,2
Guinea,Ethiopia,African Cup of Nations qualification,Casablanca,Morocco,TRUE,2
Vietnam,Oman,FIFA World Cup qualification,Hanoi,Vietnam,FALSE,1
Singapore,Malaysia,Southeast Asian Peninsular Games,Singapore,Singapore,FALSE,1
Tajikistan,Afghanistan,Friendly,Dushanbe,Tajikistan,FALSE,2
Ecuador,Honduras,Friendly,Guayaquil,Ecuador,FALSE,2
Finland,Turkey,Friendly,Helsinki,Finland,FALSE,1
France,Bulgaria,FIFA World Cup qualification,Paris,France,FALSE,2
Iran,Togo,Friendly,Tehran,Iran,FALSE,2
Latvia,Georgia,UEFA Euro qualification,Riga,Latvia,FALSE,2
Nigeria,Mali,African Cup of Nations,Monastir,Tunisia,TRUE,2
Guam,Vanuatu,South Pacific Games,Papeete,French Polynesia,TRUE,1
Iraq,Bahrain,Gulf Cup,Doha,Qatar,TRUE,0
Mauritius,Réunion,Friendly,Curepipe,Mauritius,FALSE,2
Senegal,Cape Verde,Friendly,Thiès,Senegal,FALSE,2
Austria,Yugoslavia,Friendly,Vienna,Austria,FALSE,2
Bahrain,Yemen,Arab Cup,Jeddah,Saudi Arabia,TRUE,1
Kazakhstan,Nepal,FIFA World Cup qualification,Almaty,Kazakhstan,FALSE,2
Tahiti,Australia,FIFA World Cup qualification,Papeete,French Polynesia,TRUE,1
Tunisia,Zambia,Friendly,Tunis,Tunisia,FALSE,0
El Salvador,Jamaica,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,2
Austria,Greece,Friendly,Vienna,Austria,FALSE,2
Iraq,Oman,FIFA World Cup qualification,Baghdad,Iraq,FALSE,2
Nigeria,Argentina,Confederations Cup,Riyadh,Saudi Arabia,TRUE,0
Bolivia,Paraguay,Copa Paz del Chaco,La Paz,Bolivia,FALSE,1
Chile,Bolivia,Friendly,Santiago,Chile,FALSE,2
Botswana,Namibia,Friendly,Maun,Botswana,FALSE,0
Uruguay,Peru,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,2
United States,Trinidad and Tobago,Gold Cup,Cleveland,United States,FALSE,2
Tunisia,Ghana,Friendly,Sfax,Tunisia,FALSE,2
Norway,Republic of Ireland,Friendly,Oslo,Norway,FALSE,1
France,Portugal,Friendly,Colombes,France,FALSE,2
Republic of Ireland,France,Friendly,Dublin,Republic of Ireland,FALSE,0
Mozambique,Ghana,African Cup of Nations,Ebimpé,Ivory Coast,TRUE,0
Poland,Serbia,UEFA Euro qualification,Warsaw,Poland,FALSE,0
France,Serbia,Friendly,Saint-Denis,France,FALSE,2
Malaysia,Thailand,Vietnam Independence Cup,Saigon,Vietnam Republic,TRUE,0
Faroe Islands,Republic of Ireland,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE,1
Thailand,Kyrgyzstan,Friendly,Bangkok,Thailand,FALSE,2
Senegal,Nigeria,Friendly,Dakar,Senegal,FALSE,1
Iran,Venezuela,Friendly,Arnhem,Netherlands,TRUE,2
Cuba,Cayman Islands,CFU Caribbean Cup qualification,Havana,Cuba,FALSE,2
Belarus,Russia,Friendly,Minsk,Belarus,FALSE,1
Libya,Sudan,Friendly,Benghazi,Libya,FALSE,1
Morocco,Netherlands,FIFA World Cup,Orlando,United States,TRUE,1
Martinique,Saint Lucia,Friendly,Fort-de-France,Martinique,FALSE,2
Puerto Rico,Saint Lucia,FIFA World Cup qualification,Mayagüez,Puerto Rico,FALSE,2
Burkina Faso,Benin,Friendly,Ouagadougou,Upper Volta,FALSE,2
Netherlands,Sweden,Friendly,The Hague,Netherlands,FALSE,2
Cuba,Cayman Islands,CFU Caribbean Cup qualification,Hamilton,Bermuda,TRUE,2
Nepal,Laos,FIFA World Cup qualification,Kathmandu,Nepal,FALSE,0
Lithuania,Russia,Friendly,Burghausen,Germany,TRUE,1
Mali,Togo,African Cup of Nations qualification,Bamako,Mali,FALSE,2
Ecuador,Venezuela,Copa América,Quito,Ecuador,FALSE,2
Italy,Czechoslovakia,Friendly,Bari,Italy,FALSE,2
Malaysia,Vietnam Republic,Southeast Asian Peninsular Games,Rangoon,Burma,TRUE,2
