home_team,away_team,tournament,city,country,neutral,result
Peru,Argentina,Copa América,Lima,Peru,FALSE,2
Portugal,Scotland,UEFA Euro qualification,Lisbon,Portugal,FALSE,2
China PR,India,Great Wall Cup,Beijing,China PR,FALSE,2
Oman,Syria,Friendly,Muscat,Oman,FALSE,2
Barbados,Saint Vincent and the Grenadines,Friendly,Bridgetown,Barbados,FALSE,2
Ivory Coast,Nigeria,Friendly,Abidjan,Ivory Coast,FALSE,0
Venezuela,China PR,Friendly,Caracas,Venezuela,FALSE,1
Gambia,Congo,African Cup of Nations qualification,Marrakech,Morocco,TRUE,0
Sudan,DR Congo,African Cup of Nations,Dire Dawa,Ethiopia,TRUE,0
Spain,Albania,Friendly,Barcelona,Spain,FALSE,2
Togo,Burkina Faso,Friendly,Lomé,Togo,FALSE,0
Nigeria,Ivory Coast,African Cup of Nations qualification,Lagos,Nigeria,FALSE,0
Italy,Netherlands,Friendly,Milan,Italy,FALSE,2
Denmark,Finland,Friendly,Copenhagen,Denmark,FALSE,2
Luxembourg,Albania,UEFA Euro qualification,Luxembourg,Luxembourg,FALSE,2
Netherlands,Germany,Friendly,Amsterdam,Netherlands,FALSE,1
Andorra,Russia,UEFA Euro qualification,Sant Julià de Lòria,Andorra,FALSE,1
Morocco,Algeria,African Cup of Nations qualification,Marrakech,Morocco,FALSE,2
United States Virgin Islands,Bermuda,CFU Caribbean Cup qualification,Charlotte Amalie,United States Virgin Islands,FALSE,1
Antigua and Barbuda,Haiti,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,FALSE,1
Belgium,Wales,FIFA World Cup qualification,Brussels,Belgium,FALSE,0
Czech Republic,Uruguay,Confederations Cup,Riyadh,Saudi Arabia,TRUE,2
Iraq,Thailand,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE,2
Mongolia,Vietnam,FIFA World Cup qualification,Dammam,Saudi Arabia,TRUE,1
Uruguay,Ecuador,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,2
Algeria,Guinea,Friendly,Oran,Algeria,FALSE,2
Slovenia,Northern Ireland,FIFA World Cup qualification,Maribor,Slovenia,FALSE,2
Falkland Islands,Frøya,Island Games,Hamilton,Bermuda,TRUE,2
Romania,Greece,Balkan Cup,Bucharest,Romania,FALSE,2
Colombia,Uruguay,Copa América,Lima,Peru,TRUE,2
Ivory Coast,Mozambique,FIFA World Cup qualification,Cotonou,Benin,TRUE,2
Lithuania,Armenia,Friendly,Kaunas,Lithuania,FALSE,2
Lesotho,Mozambique,Friendly,Umtali,Zimbabwe,TRUE,1
China PR,North Vietnam,GaNEFo,Phnom Penh,Cambodia,TRUE,2
Germany,Yugoslavia,Friendly,Hanover,Germany,FALSE,0
Finland,Italy,FIFA World Cup qualification,Helsinki,Finland,FALSE,1
United States,Argentina,Friendly,Miami,United States,FALSE,1
Ecuador,United States,Copa América,Quito,Ecuador,FALSE,2
Qatar,Uzbekistan,AFC Asian Cup,Al Khor,Qatar,FALSE,0
Guyana,Grenada,Friendly,Linden,Guyana,FALSE,2
England,Romania,Friendly,London,England,FALSE,2
Russia,Sweden,Friendly,Moscow,Russia,FALSE,1
Luxembourg,Belgium,Friendly,Luxembourg,Luxembourg,FALSE,1
